token_cap,reserved_slots,refill,proc_delay,repeat,success,failures,processed,tokens_left,max_queue_len,time_ms,elapsed_ms,exit_code,logfile
64,16,4,5,1,528,2672,528,64,496,3360.76,3360.76,0,
64,16,8,1,1,527,2673,527,64,496,984.925,984.925,0,
64,16,8,2,1,522,2678,522,64,496,1454.19,1454.19,0,
64,16,8,5,1,528,2672,528,64,496,3040.426,3040.426,0,
64,16,16,1,1,523,2677,523,64,496,982.885,982.885,0,
64,16,16,2,1,528,2672,528,64,496,1477.846,1477.846,0,
64,16,16,5,1,528,2672,528,64,496,3033.658,3033.658,0,
64,32,4,1,1,528,2672,528,64,496,999.071,999.071,0,
64,32,4,2,1,528,2672,528,64,496,1480.992,1480.992,0,
64,32,4,5,1,528,2672,528,64,496,3066.887,3066.887,0,
64,32,8,1,1,528,2672,528,64,496,1126.859,1126.859,0,
64,32,8,2,1,528,2672,528,64,496,1545.487,1545.487,0,
64,32,8,5,1,528,2672,528,64,496,3065.285,3065.285,0,
64,32,16,1,1,527,2673,527,64,496,1097.521,1097.521,0,
64,32,16,2,1,528,2672,528,64,496,1487.615,1487.615,0,
64,32,16,5,1,528,2672,528,64,496,3064.003,3064.003,0,
64,64,4,1,1,528,2672,528,64,496,984.244,984.244,0,
64,64,4,2,1,513,2687,513,64,496,1424.05,1424.05,0,
64,64,4,5,1,527,2673,527,64,496,3072.945,3072.945,0,
64,64,8,1,1,527,2673,527,64,496,984.192,984.192,0,
64,64,8,2,1,528,2672,528,64,496,1474.156,1474.156,0,
64,64,8,5,1,528,2672,528,64,496,3018.428,3018.428,0,
64,64,16,1,1,528,2672,528,64,496,984.054,984.054,0,
64,64,16,2,1,528,2672,528,64,496,1456.725,1456.725,0,
64,64,16,5,1,528,2672,528,64,496,3035.331,3035.331,0,
64,128,4,1,1,528,2672,528,64,496,968.965,968.965,0,
64,128,4,2,1,528,2672,528,64,496,1455.37,1455.37,0,
64,128,4,5,1,528,2672,528,64,496,3065.948,3065.948,0,
64,128,8,1,1,528,2672,528,64,496,974.098,974.098,0,
64,128,8,2,1,528,2672,528,64,496,1478.027,1478.027,0,
64,128,8,5,1,528,2672,528,64,496,3030.824,3030.824,0,
64,128,16,1,1,528,2672,528,64,496,970.134,970.134,0,
64,128,16,2,1,528,2672,528,64,496,1457.12,1457.12,0,
64,128,16,5,1,528,2672,528,64,496,3025.582,3025.582,0,
128,16,4,1,1,528,2672,528,128,496,967.3,967.3,0,
128,16,4,2,1,527,2673,527,128,496,1465.695,1465.695,0,
